offChipTempValue,offChipTempStatus,offChipTempMessage,onboardBrightnessValue,onboardBrightnessStatus,onboardBrightnessMessage,onboardTemperatureValue,onboardTemperatureStatus,onboardHumidityValue,onboardHumidityStatus,onboardTemperatureMessage,onboardHumidityMessage,barometerTemperaturValue,barometerTemperaturStatus,barometerPressureValue,barometerPressureStatus,barometerTemperatureMessage,barometerPressureMessage,presenceValue,presenceStatus,presenceMessage,rilevationTime,imei,props
22.0,OK,,0.0,OK,,23.0,OK,35.0,OK,,,24.0,OK,101342.0,OK,,,0,OK,No humans detected!,2020-01-12T10:03:48.000325,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101370.0,OK,,,0,OK,No humans detected!,2020-01-12T10:03:45.000188,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101348.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:03:41.000809,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101332.0,OK,,,0,OK,No humans detected!,2020-01-12T10:03:40.000554,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,33.0,OK,,,24.0,OK,101349.0,OK,,,0,OK,No humans detected!,2020-01-12T10:03:35.000918,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101331.0,OK,,,0,OK,No humans detected!,2020-01-12T10:03:13.000038,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101334.0,OK,,,0,OK,No humans detected!,2020-01-12T10:02:38.000932,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101348.0,OK,,,0,OK,No humans detected!,2020-01-12T10:02:25.000433,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101346.0,OK,,,0,OK,No humans detected!,2020-01-12T10:01:51.000927,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,35.0,OK,,,24.0,OK,101336.0,OK,,,0,OK,No humans detected!,2020-01-12T10:01:43.000378,000000001b982f0d,[]
